what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577199797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577739385
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374577740628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577742803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577751065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577756168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577760879
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374577761287
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374577761407
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374577770827
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374577773185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374577773427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374577773987
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374577775290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577777497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577780918
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1374577780931
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374577781574
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374577789391
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374577789628
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374577789707
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374577791457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577794724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577798773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577799427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577954277
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374577957582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577959017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374577960049
